ddinter_id,drug_a_name,drug_b_name,interaction_level,mechanism,management,interaction_type
DDI001,warfarin,aspirin,Major,Additive antiplatelet and anticoagulant effects increase bleeding risk.,Avoid combination or monitor closely for bleeding and INR changes.,DDI
DDI002,warfarin,ciprofloxacin,Major,Ciprofloxacin may inhibit warfarin metabolism and potentiate anticoagulation.,Monitor INR closely and reduce warfarin dose if needed.,DDI
DDI003,warfarin,clarithromycin,Major,Clarithromycin can increase warfarin exposure and bleeding risk.,Avoid if possible or intensify INR monitoring.,DDI
DDI004,amiodarone,warfarin,Major,Amiodarone inhibits warfarin clearance and increases anticoagulant effect.,Lower warfarin dose and monitor INR frequently.,DDI
DDI005,digoxin,clarithromycin,Major,Macrolides may raise digoxin concentrations through gut flora and P-gp effects.,Check digoxin levels and watch for toxicity.,DDI
DDI006,simvastatin,clarithromycin,Contraindicated,Strong CYP3A4 inhibition can sharply increase simvastatin exposure.,Avoid combination because of rhabdomyolysis risk.,DDI
DDI007,simvastatin,amiodarone,Contraindicated,Amiodarone increases simvastatin concentration and myopathy risk.,Avoid or switch to a safer statin.,DDI
DDI008,clopidogrel,omeprazole,Major,Omeprazole may reduce CYP2C19-mediated activation of clopidogrel.,Use an alternative acid suppressant when possible.,DDI
DDI009,fluoxetine,tramadol,Major,Serotonergic effects and CYP2D6 inhibition increase serotonin syndrome and seizure risk.,Avoid combination or monitor for neurologic toxicity.,DDI
DDI010,sertraline,tramadol,Major,Combined serotonergic activity may precipitate serotonin toxicity.,Use another analgesic if possible.,DDI
DDI011,lithium,lisinopril,Major,ACE inhibitors can reduce lithium clearance and increase serum lithium.,Check lithium levels and renal function closely.,DDI
DDI012,clozapine,ciprofloxacin,Contraindicated,Ciprofloxacin inhibits CYP1A2 and may cause toxic clozapine levels.,Avoid combination or use a noninteracting antibiotic.,DDI
DDI013,haloperidol,clarithromycin,Contraindicated,Both agents prolong QT interval and can trigger torsades de pointes.,Avoid combination because of high arrhythmia risk.,DDI
DDI014,tacrolimus,clarithromycin,Contraindicated,CYP3A4 inhibition can cause markedly elevated tacrolimus concentrations.,Avoid and monitor tacrolimus very closely if unavoidable.,DDI
DDI015,metformin,ciprofloxacin,Moderate,Fluoroquinolones may alter glucose control in patients taking metformin.,Monitor blood glucose during coadministration.,DDI
DDI016,metoprolol,fluoxetine,Moderate,Fluoxetine inhibits CYP2D6 and may increase metoprolol exposure.,Monitor for bradycardia and lower metoprolol dose if needed.,DDI
